s,iniziativa,presentazione,approvazione
http://dati.camera.it/ocd/attocamera.rdf/ac19_303,Parlamentare,20221013,20230301
http://dati.camera.it/ocd/attocamera.rdf/ac19_2920,Governo,20260507,20260701
http://dati.camera.it/ocd/attocamera.rdf/ac19_2066,Governo,20241001,20241003
http://dati.camera.it/ocd/attocamera.rdf/ac19_2473-B,Governo,20260121,20260310
http://dati.camera.it/ocd/attocamera.rdf/ac19_2101,Governo,20241017,20250611
http://dati.camera.it/ocd/attocamera.rdf/ac19_665,Parlamentare,20221201,20231109
http://dati.camera.it/ocd/attocamera.rdf/ac19_153,Parlamentare,20221013,20250708
http://dati.camera.it/ocd/attocamera.rdf/ac19_2488-B,Governo,20250804,20250806
http://dati.camera.it/ocd/attocamera.rdf/ac19_888,Governo,20230216,20230223
http://dati.camera.it/ocd/attocamera.rdf/ac19_1114,Governo,20230422,20230620
http://dati.camera.it/ocd/attocamera.rdf/ac19_1517,Governo,20231027,20231108
http://dati.camera.it/ocd/attocamera.rdf/ac19_2778,Governo,20260130,20260609
http://dati.camera.it/ocd/attocamera.rdf/ac19_2604,Governo,20250917,20251028
http://dati.camera.it/ocd/attocamera.rdf/ac19_2397,Governo,20250513,20250610
http://dati.camera.it/ocd/attocamera.rdf/ac19_2910,Governo,20260430,20260507
http://dati.camera.it/ocd/attocamera.rdf/ac19_784,Parlamentare,20230118,20230301
http://dati.camera.it/ocd/attocamera.rdf/ac19_630-B,Parlamentare,20241001,20250211
http://dati.camera.it/ocd/attocamera.rdf/ac19_859,"Mista (Governo, Parlamentare)",20230202,20230531
http://dati.camera.it/ocd/attocamera.rdf/ac19_1040,Governo,20230323,20230914
http://dati.camera.it/ocd/attocamera.rdf/ac19_2362,Governo,20250416,20250513
http://dati.camera.it/ocd/attocamera.rdf/ac19_737,Parlamentare,20221227,20230502
http://dati.camera.it/ocd/attocamera.rdf/ac19_2369,Governo,20250424,20260114
http://dati.camera.it/ocd/attocamera.rdf/ac19_889,Governo,20230216,20230405
http://dati.camera.it/ocd/attocamera.rdf/ac19_2961,Governo,20260610,20260729
http://dati.camera.it/ocd/attocamera.rdf/ac19_750,Governo,20230102,20230223
http://dati.camera.it/ocd/attocamera.rdf/ac19_1718,Governo,20240216,20240710
http://dati.camera.it/ocd/attocamera.rdf/ac19_2605,Governo,20250917,20260224
http://dati.camera.it/ocd/attocamera.rdf/ac19_1202,Parlamentare,20230606,20250122
http://dati.camera.it/ocd/attocamera.rdf/ac19_2537,Governo,20250724,20250924
http://dati.camera.it/ocd/attocamera.rdf/ac19_2957,Governo,20260610,20260806
http://dati.camera.it/ocd/attocamera.rdf/ac19_1951,Governo,20240705,20240806
http://dati.camera.it/ocd/attocamera.rdf/ac19_113,Parlamentare,20221013,20241120
http://dati.camera.it/ocd/attocamera.rdf/ac19_2570,Governo,20250808,20251001
http://dati.camera.it/ocd/attocamera.rdf/ac19_2188,Governo,20250108,20250910
http://dati.camera.it/ocd/attocamera.rdf/ac19_1406,Governo,20230913,20231025
http://dati.camera.it/ocd/attocamera.rdf/ac19_2126,Governo,20241031,20250910
http://dati.camera.it/ocd/attocamera.rdf/ac19_2623,Governo,20250925,20251001
http://dati.camera.it/ocd/attocamera.rdf/ac19_2429,Governo,20250528,20260401
http://dati.camera.it/ocd/attocamera.rdf/ac19_2511,Governo,20250710,20260630
http://dati.camera.it/ocd/attocamera.rdf/ac19_413,Parlamentare,20221019,20231205
http://dati.camera.it/ocd/attocamera.rdf/ac19_1286,Parlamentare,20230710,20250122
http://dati.camera.it/ocd/attocamera.rdf/ac19_1956,Parlamentare,20240709,20240807
http://dati.camera.it/ocd/attocamera.rdf/ac19_249,Parlamentare,20221013,20231205
http://dati.camera.it/ocd/attocamera.rdf/ac19_2099,Governo,20241017,20241105
http://dati.camera.it/ocd/attocamera.rdf/ac19_1606,Governo,20231209,20240131
http://dati.camera.it/ocd/attocamera.rdf/ac19_1946,Governo,20240704,20240711
http://dati.camera.it/ocd/attocamera.rdf/ac19_887,Parlamentare,20230215,20241016
http://dati.camera.it/ocd/attocamera.rdf/ac19_2750,Governo,20251223,20251230
http://dati.camera.it/ocd/attocamera.rdf/ac19_1297,Governo,20230712,20240118
http://dati.camera.it/ocd/attocamera.rdf/ac19_2536,Governo,20250724,20250924
http://dati.camera.it/ocd/attocamera.rdf/ac19_1532-bis,Governo,20231128,20241211
http://dati.camera.it/ocd/attocamera.rdf/ac19_2184,Governo,20241231,20250226
http://dati.camera.it/ocd/attocamera.rdf/ac19_1830,Governo,20240417,20240925
http://dati.camera.it/ocd/attocamera.rdf/ac19_2855,Governo,20260325,20260429
http://dati.camera.it/ocd/attocamera.rdf/ac19_433,Parlamentare,20221024,20241106
http://dati.camera.it/ocd/attocamera.rdf/ac19_1627,Governo,20231222,20231230
http://dati.camera.it/ocd/attocamera.rdf/ac19_2420,Governo,20250522,20250603
http://dati.camera.it/ocd/attocamera.rdf/ac19_2935,Governo,20260514,20260520
http://dati.camera.it/ocd/attocamera.rdf/ac19_2149,,20241127,20250311
http://dati.camera.it/ocd/attocamera.rdf/ac19_2538,Governo,20250724,20250806
http://dati.camera.it/ocd/attocamera.rdf/ac19_911,Parlamentare,20230222,20230920
http://dati.camera.it/ocd/attocamera.rdf/ac19_2678,Governo,20251029,20251218
http://dati.camera.it/ocd/attocamera.rdf/ac19_2774,Governo,20260128,20260429
http://dati.camera.it/ocd/attocamera.rdf/ac19_1060,Governo,20230330,20230525
http://dati.camera.it/ocd/attocamera.rdf/ac19_2029,Governo,20240911,20251008
http://dati.camera.it/ocd/attocamera.rdf/ac19_1134,Governo,20230503,20230718
http://dati.camera.it/ocd/attocamera.rdf/ac19_1550,Parlamentare,20231115,20231230
http://dati.camera.it/ocd/attocamera.rdf/ac19_1745,Governo,20240228,20240507
http://dati.camera.it/ocd/attocamera.rdf/ac19_977,Governo,20230310,20230323
http://dati.camera.it/ocd/attocamera.rdf/ac19_1436,Governo,20230929,20231005
http://dati.camera.it/ocd/attocamera.rdf/ac19_1343,Governo,20230727,20230913
http://dati.camera.it/ocd/attocamera.rdf/ac19_1703,Governo,20240209,20250305
http://dati.camera.it/ocd/attocamera.rdf/ac19_1805,Parlamentare,20240327,20260210
http://dati.camera.it/ocd/attocamera.rdf/ac19_2355,Governo,20250411,20250604
http://dati.camera.it/ocd/attocamera.rdf/ac19_1128,Parlamentare,20230502,20250708
http://dati.camera.it/ocd/attocamera.rdf/ac19_2329,Governo,20250328,20250520
http://dati.camera.it/ocd/attocamera.rdf/ac19_1555,Governo,20231116,20231230
http://dati.camera.it/ocd/attocamera.rdf/ac19_2460,Governo,20250617,20250729
http://dati.camera.it/ocd/attocamera.rdf/ac19_959,Parlamentare,20230307,20231205
http://dati.camera.it/ocd/attocamera.rdf/ac19_585,Parlamentare,20221116,20230322
http://dati.camera.it/ocd/attocamera.rdf/ac19_2754,Governo,20251231,20260225
http://dati.camera.it/ocd/attocamera.rdf/ac19_1492,Governo,20231018,20231024
http://dati.camera.it/ocd/attocamera.rdf/ac19_785,Governo,20230119,20230130
http://dati.camera.it/ocd/attocamera.rdf/ac19_1686,Governo,20240202,20260331
http://dati.camera.it/ocd/attocamera.rdf/ac19_1424,Parlamentare,20230921,20250319
http://dati.camera.it/ocd/attocamera.rdf/ac19_2189,Governo,20250108,20250715
http://dati.camera.it/ocd/attocamera.rdf/ac19_1276,Parlamentare,20230704,20250312
http://dati.camera.it/ocd/attocamera.rdf/ac19_1371,Governo,20230809,20250401
http://dati.camera.it/ocd/attocamera.rdf/ac19_1632,Governo,20231229,20250312
http://dati.camera.it/ocd/attocamera.rdf/ac19_976-B,Regioni,20250528,20260121
http://dati.camera.it/ocd/attocamera.rdf/ac19_1150,Governo,20230509,20240919
http://dati.camera.it/ocd/attocamera.rdf/ac19_960,Parlamentare,20230307,20241121
http://dati.camera.it/ocd/attocamera.rdf/ac19_536-B,Parlamentare,20240222,20240515
http://dati.camera.it/ocd/attocamera.rdf/ac19_596,Parlamentare,20221117,20240409
http://dati.camera.it/ocd/attocamera.rdf/ac19_2142,Governo,20241119,20250416
http://dati.camera.it/ocd/attocamera.rdf/ac19_1915,Governo,20240613,20250911
http://dati.camera.it/ocd/attocamera.rdf/ac19_1322,Governo,20230720,20230802
http://dati.camera.it/ocd/attocamera.rdf/ac19_2002,Governo,20240801,20240807
http://dati.camera.it/ocd/attocamera.rdf/ac19_1849,Governo,20240507,20241105
http://dati.camera.it/ocd/attocamera.rdf/ac19_1917-B,Governo,20250723,20251030
http://dati.camera.it/ocd/attocamera.rdf/ac19_2384,Governo,20250506,20250805
http://dati.camera.it/ocd/attocamera.rdf/ac19_2293,Governo,20250305,20251008
http://dati.camera.it/ocd/attocamera.rdf/ac19_1704,Governo,20240209,20260616
http://dati.camera.it/ocd/attocamera.rdf/ac19_1419,Governo,20230919,20240410
http://dati.camera.it/ocd/attocamera.rdf/ac19_2150,Governo,20241128,20241205
http://dati.camera.it/ocd/attocamera.rdf/ac19_80,Parlamentare,20221013,20230502
http://dati.camera.it/ocd/attocamera.rdf/ac19_2393,Governo,20250508,20251029
http://dati.camera.it/ocd/attocamera.rdf/ac19_1854,Governo,20240509,20240702
http://dati.camera.it/ocd/attocamera.rdf/ac19_2807,Governo,20260219,20260415
http://dati.camera.it/ocd/attocamera.rdf/ac19_1759,Governo,20240306,20240313
http://dati.camera.it/ocd/attocamera.rdf/ac19_1501,Governo,20231019,20260107
http://dati.camera.it/ocd/attocamera.rdf/ac19_2574,Governo,20250811,20260311
http://dati.camera.it/ocd/attocamera.rdf/ac19_780,Parlamentare,20230118,20230301
http://dati.camera.it/ocd/attocamera.rdf/ac19_2102,Governo,20241017,20251008
http://dati.camera.it/ocd/attocamera.rdf/ac19_2772,Parlamentare,20260128,20260804
http://dati.camera.it/ocd/attocamera.rdf/ac19_2890,Governo,20260422,20260512
http://dati.camera.it/ocd/attocamera.rdf/ac19_741,Parlamentare,20221228,20251001
http://dati.camera.it/ocd/attocamera.rdf/ac19_1687,Governo,20240202,20260331
http://dati.camera.it/ocd/attocamera.rdf/ac19_643-bis,Governo,20221201,20221229
http://dati.camera.it/ocd/attocamera.rdf/ac19_1149,Governo,20230509,20240919
http://dati.camera.it/ocd/attocamera.rdf/ac19_1373,Governo,20230810,20231004
http://dati.camera.it/ocd/attocamera.rdf/ac19_2736,Governo,20251210,20251218
http://dati.camera.it/ocd/attocamera.rdf/ac19_202,Parlamentare,20221013,20250708
http://dati.camera.it/ocd/attocamera.rdf/ac19_1587,Governo,20231130,20251008
http://dati.camera.it/ocd/attocamera.rdf/ac19_1803,Governo,20240327,20251014
http://dati.camera.it/ocd/attocamera.rdf/ac19_1104,Parlamentare,20230418,20250708
http://dati.camera.it/ocd/attocamera.rdf/ac19_2128,Governo,20241106,20241113
http://dati.camera.it/ocd/attocamera.rdf/ac19_2291,Governo,20250305,20250611
http://dati.camera.it/ocd/attocamera.rdf/ac19_813-B,Parlamentare,20260128,20260513
http://dati.camera.it/ocd/attocamera.rdf/ac19_924,Governo,20230223,20240326
http://dati.camera.it/ocd/attocamera.rdf/ac19_1239,Governo,20230622,20230803
http://dati.camera.it/ocd/attocamera.rdf/ac19_1620,Governo,20231218,20240215
http://dati.camera.it/ocd/attocamera.rdf/ac19_939,Governo,20230302,20230418
http://dati.camera.it/ocd/attocamera.rdf/ac19_1950,Governo,20240705,20250409
http://dati.camera.it/ocd/attocamera.rdf/ac19_915,Parlamentare,20230222,20230530
http://dati.camera.it/ocd/attocamera.rdf/ac19_1437,Governo,20230929,20231121
http://dati.camera.it/ocd/attocamera.rdf/ac19_2759,Governo,20260108,20260401
http://dati.camera.it/ocd/attocamera.rdf/ac19_1979,Parlamentare,20240718,20250408
http://dati.camera.it/ocd/attocamera.rdf/ac19_916,Parlamentare,20230222,20230530
http://dati.camera.it/ocd/attocamera.rdf/ac19_2526,Governo,20250723,20250729
http://dati.camera.it/ocd/attocamera.rdf/ac19_418-B,Parlamentare,20241121,20250212
http://dati.camera.it/ocd/attocamera.rdf/ac19_1896,Governo,20240529,20240724
http://dati.camera.it/ocd/attocamera.rdf/ac19_2590,Governo,20250911,20251105
http://dati.camera.it/ocd/attocamera.rdf/ac19_2521,Governo,20250717,20260121
http://dati.camera.it/ocd/attocamera.rdf/ac19_705,Governo,20221213,20221230
http://dati.camera.it/ocd/attocamera.rdf/ac19_988,Parlamentare,20230314,20241002
http://dati.camera.it/ocd/attocamera.rdf/ac19_1539,Governo,20231110,20260331
http://dati.camera.it/ocd/attocamera.rdf/ac19_2402,Governo,20250515,20250520
http://dati.camera.it/ocd/attocamera.rdf/ac19_547,Governo,20221111,20221214
http://dati.camera.it/ocd/attocamera.rdf/ac19_338-B,Parlamentare,20230323,20230412
http://dati.camera.it/ocd/attocamera.rdf/ac19_1089,Governo,20230413,20230420
http://dati.camera.it/ocd/attocamera.rdf/ac19_384-B,Parlamentare,20231109,20240214
http://dati.camera.it/ocd/attocamera.rdf/ac19_2285,Governo,20250305,20250318
http://dati.camera.it/ocd/attocamera.rdf/ac19_1038-B,Governo,20230802,20230804
http://dati.camera.it/ocd/attocamera.rdf/ac19_2591,Governo,20250911,20260401
http://dati.camera.it/ocd/attocamera.rdf/ac19_2773,Governo,20260128,20260429
http://dati.camera.it/ocd/attocamera.rdf/ac19_2030,Governo,20240911,20241105
http://dati.camera.it/ocd/attocamera.rdf/ac19_1588,Governo,20231130,20251008
http://dati.camera.it/ocd/attocamera.rdf/ac19_1952,Governo,20240705,20240806
http://dati.camera.it/ocd/attocamera.rdf/ac19_1621,Parlamentare,20231219,20251227
http://dati.camera.it/ocd/attocamera.rdf/ac19_1267,Governo,20230630,20240326
http://dati.camera.it/ocd/attocamera.rdf/ac19_805,Parlamentare,20230124,20260120
http://dati.camera.it/ocd/attocamera.rdf/ac19_2761,Governo,20260114,20260120
http://dati.camera.it/ocd/attocamera.rdf/ac19_3053,Governo,20260730,20260805
http://dati.camera.it/ocd/attocamera.rdf/ac19_692,Parlamentare,20221207,20230301
http://dati.camera.it/ocd/attocamera.rdf/ac19_2962,Governo,20260611,20260624
http://dati.camera.it/ocd/attocamera.rdf/ac19_2735,Governo,20251209,20260707
http://dati.camera.it/ocd/attocamera.rdf/ac19_2304,Parlamentare,20250312,20260303
http://dati.camera.it/ocd/attocamera.rdf/ac19_1200,Parlamentare,20230601,20231205
http://dati.camera.it/ocd/attocamera.rdf/ac19_2139,Governo,20241112,20250401
http://dati.camera.it/ocd/attocamera.rdf/ac19_1395,Parlamentare,20230912,20250708
http://dati.camera.it/ocd/attocamera.rdf/ac19_2592,Governo,20250911,20260401
http://dati.camera.it/ocd/attocamera.rdf/ac19_717,Parlamentare,20221214,20230502
http://dati.camera.it/ocd/attocamera.rdf/ac19_1866,Governo,20240513,20260311
http://dati.camera.it/ocd/attocamera.rdf/ac19_2911,Governo,20260430,20260624
http://dati.camera.it/ocd/attocamera.rdf/ac19_2280,Governo,20250227,20250611
http://dati.camera.it/ocd/attocamera.rdf/ac19_908,Governo,20230222,20230302
http://dati.camera.it/ocd/attocamera.rdf/ac19_1538,Governo,20231109,20231123
http://dati.camera.it/ocd/attocamera.rdf/ac19_30,Parlamentare,20221013,20250529
http://dati.camera.it/ocd/attocamera.rdf/ac19_648,Parlamentare,20221129,20230712
http://dati.camera.it/ocd/attocamera.rdf/ac19_1261,Governo,20230628,20240304
http://dati.camera.it/ocd/attocamera.rdf/ac19_1387,Parlamentare,20230907,20250911
http://dati.camera.it/ocd/attocamera.rdf/ac19_1259,Parlamentare,20230628,20240304
http://dati.camera.it/ocd/attocamera.rdf/ac19_1658,Governo,20240119,20240312
http://dati.camera.it/ocd/attocamera.rdf/ac19_1178,Parlamentare,20230525,20230705
http://dati.camera.it/ocd/attocamera.rdf/ac19_387,Parlamentare,20221018,20230301
http://dati.camera.it/ocd/attocamera.rdf/ac19_1474,Governo,20231012,20231206
http://dati.camera.it/ocd/attocamera.rdf/ac19_1835,Parlamentare,20240422,20250108
http://dati.camera.it/ocd/attocamera.rdf/ac19_664,Governo,20221201,20221214
http://dati.camera.it/ocd/attocamera.rdf/ac19_1275,"Mista (Governo, Parlamentare, Regioni)",20230704,20250923
http://dati.camera.it/ocd/attocamera.rdf/ac19_1194,Governo,20230601,20230727
http://dati.camera.it/ocd/attocamera.rdf/ac19_659,Parlamentare,20221130,20240409
http://dati.camera.it/ocd/attocamera.rdf/ac19_1115,Governo,20230426,20230508
http://dati.camera.it/ocd/attocamera.rdf/ac19_1182,Parlamentare,20230526,20231205
http://dati.camera.it/ocd/attocamera.rdf/ac19_2031,Governo,20240911,20250108
http://dati.camera.it/ocd/attocamera.rdf/ac19_1752,Governo,20240302,20240423
http://dati.camera.it/ocd/attocamera.rdf/ac19_1929,Governo,20240624,20240731
http://dati.camera.it/ocd/attocamera.rdf/ac19_1342,Governo,20230727,20240214
http://dati.camera.it/ocd/attocamera.rdf/ac19_1039,Governo,20230323,20230726
http://dati.camera.it/ocd/attocamera.rdf/ac19_1974,Governo,20240717,20240807
http://dati.camera.it/ocd/attocamera.rdf/ac19_1183,Governo,20230529,20230720
http://dati.camera.it/ocd/attocamera.rdf/ac19_2865,Governo,20260401,20260604
http://dati.camera.it/ocd/attocamera.rdf/ac19_2183,Governo,20241228,20250219
http://dati.camera.it/ocd/attocamera.rdf/ac19_1780,Governo,20240314,20240321
http://dati.camera.it/ocd/attocamera.rdf/ac19_2206,Governo,20250122,20250128
http://dati.camera.it/ocd/attocamera.rdf/ac19_930,Governo,20230301,20230307
http://dati.camera.it/ocd/attocamera.rdf/ac19_703-B,Parlamentare,20250709,20251105
http://dati.camera.it/ocd/attocamera.rdf/ac19_1304,Parlamentare,20230713,20240221
http://dati.camera.it/ocd/attocamera.rdf/ac19_1630,Governo,20231229,20240220
http://dati.camera.it/ocd/attocamera.rdf/ac19_2775,Governo,20260128,20260429
http://dati.camera.it/ocd/attocamera.rdf/ac19_974,Governo,20230309,20230906
http://dati.camera.it/ocd/attocamera.rdf/ac19_799,Parlamentare,20230123,20241002
http://dati.camera.it/ocd/attocamera.rdf/ac19_2084,Parlamentare,20241010,20250331
http://dati.camera.it/ocd/attocamera.rdf/ac19_1067,Governo,20230331,20230524
http://dati.camera.it/ocd/attocamera.rdf/ac19_2396,Governo,20250512,20260701
http://dati.camera.it/ocd/attocamera.rdf/ac19_2333,Governo,20250331,20250521
http://dati.camera.it/ocd/attocamera.rdf/ac19_532,Parlamentare,20221108,20230502
http://dati.camera.it/ocd/attocamera.rdf/ac19_1041,Governo,20230323,20230914
http://dati.camera.it/ocd/attocamera.rdf/ac19_1324,Governo,20230720,20231116
http://dati.camera.it/ocd/attocamera.rdf/ac19_1306,Parlamentare,20230713,20240228
http://dati.camera.it/ocd/attocamera.rdf/ac19_1922,Governo,20240620,20250305
http://dati.camera.it/ocd/attocamera.rdf/ac19_1975,Governo,20240718,20240724
http://dati.camera.it/ocd/attocamera.rdf/ac19_2589,Governo,20250911,20260401
http://dati.camera.it/ocd/attocamera.rdf/ac19_1001,Governo,20230315,20231129
http://dati.camera.it/ocd/attocamera.rdf/ac19_1388,Governo,20230907,20240919
http://dati.camera.it/ocd/attocamera.rdf/ac19_2100,Governo,20241017,20241112
http://dati.camera.it/ocd/attocamera.rdf/ac19_1665,Governo,20240124,20240619
http://dati.camera.it/ocd/attocamera.rdf/ac19_1586,Governo,20231130,20250305
http://dati.camera.it/ocd/attocamera.rdf/ac19_505,Parlamentare,20221103,20260331
http://dati.camera.it/ocd/attocamera.rdf/ac19_1764,Parlamentare,20240307,20240523
http://dati.camera.it/ocd/attocamera.rdf/ac19_730,Governo,20221221,20230112
http://dati.camera.it/ocd/attocamera.rdf/ac19_770,Governo,20230113,20230509
http://dati.camera.it/ocd/attocamera.rdf/ac19_2461,Governo,20250617,20250701
